bad acc_nums
AB738955
KT897595
KT897594
AB166795
KC578685
HM641837
KJ872487
KU507306
KU194299
KU646826
AB266452
AB114447
AB738952
AB738950
AB738945
JQ086345
KJ941042
KU052866
KJ530718
AB475096
KP666135
AB537555
KM508815
KC119493
HQ896026
KU641019
KU641018
LC073719
LC073706
KT982276
KT372881
KT266810
KT726956
KT279358
KP279760
KJ689382
KJ689381
KJ179951
KR911720
KT722705
KR149293
KF148621
KF148620
KR996131
KT277937
KT277936
EU921899
KP888955
EU443256
DQ523161
KP899459
LN835346
KP900218
KM401599
KF039901
KP262412
KP126516
KF039900
KJ719252
KP091282
KM455054
KM507330
AB612276
KM434236
KM401547
KM093859
KM093858
KM186844
KM104865
KM257724
KC990021
KJ885621
KF003004
HQ896027
KM065513
KJ749841
KJ830752
KJ643142
KJ179950
KJ004564
KF750656
KJ486458
KC438281
KF311102
KF572032
KF425529
KF279681
KF110978
KF360246
KC990020
KC990830
KF010492
KC112560
JQ906550
JX181764
EU747728
JN211315
HM581978
JF964960
AB262447
GQ245970
FJ755180
AB476400
AB474916
AB474914
EU728591
EU728590
EU728587
EU728586
EU728584
EU728583
EU728582
EU728581
EU728580
EU728579
EU728578
EU728593
EU728592
GU045453
GU045452
AB266749
AB266748
AB266739
AB218884
AB218883
AB218720
GQ166168
GQ181130
AY282753
AB175670
AB179620
AB179619
AB177878
AB177879
AB177354
AY605482
AY605477
AY605475
AY605473
AY605476
AY605474
AY605480
AB080273
AB079613
AB079597
AB080274
AB079242
AB016606
AB008539
FJ755181
EF222188
EF222195
EF222193
EF222191
EF222190
EF222189
EF222198
EF222196
EU443257
EF222192
EU443255
FJ752492
EF490071
FJ460598
FJ460597
FJ460596
FJ424614
EU579522
EU579523
EU913478
EU913477
EU913475
EU747730
EU747731
EF626816
DQ343649
DQ343650
DQ343647
DQ343648
DQ523162
AB183287
EF090421
AB185326
AB167711
AB178897
AB162908
AB080237
AB185327
AB114446
AM176577
DQ008215
AJ278511
AB610502
