bad acc_nums
KU589292
KU589291
KX268741
KX268740
KX268739
KX268738
KX268736
KX268735
KX268734
KX341968
KX341966
KX341964
KT984196
KU726823
KU343209
KU042042
KX156954
KX462904
KX639824
KU350630
KX119150
KT696496
AB769383
FJ455506
FJ455505
AY639936
KT878721
KF690638
JN827386
KX118277
KX148478
KX119167
KR006340
KM886610
KU899137
KU302814
KU869711
KU521508
KM501040
KP637170
KM501042
KM501041
KM501039
KM458973
KM458972
LN681403
LN681402
HG942176
HG942174
HG942173
KF226726
KR336555
KR336554
KU343211
KU343210
LN611668
KT074363
KT896744
KT896743
KU239995
KU239994
KM023648
KC236422
KC107817
FJ797435
KU050082
KT946764
KT946765
KT590405
KT182069
KT935323
KU042041
KC107808
AB859775
KT438509
FR872383
LN624373
LN611669
KP889215
KM978917
KM978918
KM978916
KR002727
KR095170
KP284529
KP637169
KP637168
KM983394
KM365084
KP294310
KP205431
KP205430
KP205429
KJ612407
KP161875
KM977882
LN626968
KM453741
KM488333
KM488334
LN624374
KM287572
KM405516
LN611670
JX156333
KC878511
KC847078
KJ820739
KF386147
JF909979
LK391949
LK391948
LK391947
LK391945
LK391943
LK391941
LK022684
AB769476
KF704000
HG799086
KF649849
HG942365
KF649851
HG799097
HG799094
HG799093
HG799091
HG799090
AB752308
KF649852
KF649850
JX944381
AB735677
HQ402925
KC107819
KC107818
KC107816
KC107815
KC107814
KC107813
KC107810
JQ035660
JQ035659
JQ035658
JQ035657
JQ035656
JN897380
JN897379
JN897378
JN897377
JN897376
JX184903
HE860495
FR872382
HE860512
HE860510
HE860509
HE860506
HE860503
HE860500
HE860499
DQ191683
JN399096
JN704067
JN689221
JN991197
JN991196
EU587005
JN542716
HQ830201
GQ223286
GQ892049
AB539699
GU130250
GQ292769
GQ292768
FJ790313
FJ555185
EU647222
EU727203
FJ460517
AM944817
EU497054
DQ191682
DQ191684
AB187570
AP006346
AY274302
AY699271
AY562127
AY659990
AY363392
AY383557
AB093006
AF217843
FJ827759
EF560650
FJ827761
FJ827760
FJ827758
EU517503
DQ518969
EF584003
DQ917432
DQ442914
AB071201
